model_name,gpu_count,impl,prompt_len,avg_latency(ms)
Llama-3.3-70B-Instruct,8,baseline_multimem,1024,49.40589324493582
Llama-3.3-70B-Instruct,8,baseline_multimem,2048,89.05909524764866
Llama-3.3-70B-Instruct,8,baseline_multimem,4096,173.3010076878903
Llama-3.3-70B-Instruct,8,baseline_multimem,8192,348.1283481659678
Llama-3.3-70B-Instruct,8,baseline_multimem,16384,736.9062869615542
Llama-3.3-70B-Instruct,8,baseline_multimem,32768,1626.8637713355322
Llama-3.3-70B-Instruct,8,no_ar1,1024,43.716262094676495
Llama-3.3-70B-Instruct,8,no_ar1,2048,80.75242873746902
Llama-3.3-70B-Instruct,8,no_ar1,4096,158.49872174051902
Llama-3.3-70B-Instruct,8,no_ar1,8192,320.6181502241331
Llama-3.3-70B-Instruct,8,no_ar1,16384,675.9496708012497
Llama-3.3-70B-Instruct,8,no_ar1,32768,1538.9434794623714
Llama-3.3-70B-Instruct,8,no_ar2,1024,43.70055256489044
Llama-3.3-70B-Instruct,8,no_ar2,2048,80.68348732388888
Llama-3.3-70B-Instruct,8,no_ar2,4096,158.38159593210244
Llama-3.3-70B-Instruct,8,no_ar2,8192,318.924989644438
Llama-3.3-70B-Instruct,8,no_ar2,16384,676.7845698748715
Llama-3.3-70B-Instruct,8,no_ar2,32768,1513.7459232627104
Llama-3.3-70B-Instruct,8,no_ln1,1024,47.733616235200316
Llama-3.3-70B-Instruct,8,no_ln1,2048,86.19676265322293
Llama-3.3-70B-Instruct,8,no_ln1,4096,167.97416949411854
Llama-3.3-70B-Instruct,8,no_ln1,8192,338.97872670786455
Llama-3.3-70B-Instruct,8,no_ln1,16384,714.2515678307973
Llama-3.3-70B-Instruct,8,no_ln1,32768,1593.6298501639005
Llama-3.3-70B-Instruct,8,no_ln2,1024,47.82082644136002
Llama-3.3-70B-Instruct,8,no_ln2,2048,86.00319623559092
Llama-3.3-70B-Instruct,8,no_ln2,4096,168.29042650448778
Llama-3.3-70B-Instruct,8,no_ln2,8192,340.0268579639184
Llama-3.3-70B-Instruct,8,no_ln2,16384,708.0642695732726
Llama-3.3-70B-Instruct,8,no_ln2,32768,1580.2760556534242
Qwen2.5-72B-Instruct,8,baseline_multimem,1024,50.29893232664714
Qwen2.5-72B-Instruct,8,baseline_multimem,2048,92.22198660718277
Qwen2.5-72B-Instruct,8,baseline_multimem,4096,177.15674289502203
Qwen2.5-72B-Instruct,8,baseline_multimem,8192,352.24699108706164
Qwen2.5-72B-Instruct,8,baseline_multimem,16384,749.1770015719036
Qwen2.5-72B-Instruct,8,baseline_multimem,32768,1661.5100671382
Qwen2.5-72B-Instruct,8,no_ar1,1024,45.10604326302806
Qwen2.5-72B-Instruct,8,no_ar1,2048,83.95696102719133
Qwen2.5-72B-Instruct,8,no_ar1,4096,163.1199232341411
Qwen2.5-72B-Instruct,8,no_ar1,8192,326.9388233932356
Qwen2.5-72B-Instruct,8,no_ar1,16384,687.689526041504
Qwen2.5-72B-Instruct,8,no_ar1,32768,1565.8758611340697
Qwen2.5-72B-Instruct,8,no_ar2,1024,45.31858382979408
Qwen2.5-72B-Instruct,8,no_ar2,2048,84.06914722872898
Qwen2.5-72B-Instruct,8,no_ar2,4096,162.2663727689845
Qwen2.5-72B-Instruct,8,no_ar2,8192,325.7805619427624
Qwen2.5-72B-Instruct,8,no_ar2,16384,686.833335129389
Qwen2.5-72B-Instruct,8,no_ar2,32768,1548.2573008242373
Qwen2.5-72B-Instruct,8,no_ln1,1024,48.68369350054612
Qwen2.5-72B-Instruct,8,no_ln1,2048,89.36304385230567
Qwen2.5-72B-Instruct,8,no_ln1,4096,171.28482296441993
Qwen2.5-72B-Instruct,8,no_ln1,8192,342.73113136878237
Qwen2.5-72B-Instruct,8,no_ln1,16384,731.4675108296797
Qwen2.5-72B-Instruct,8,no_ln1,32768,1618.7075856646213
Qwen2.5-72B-Instruct,8,no_ln2,1024,48.77147349373748
Qwen2.5-72B-Instruct,8,no_ln2,2048,89.45432382170111
Qwen2.5-72B-Instruct,8,no_ln2,4096,171.46950888757905
Qwen2.5-72B-Instruct,8,no_ln2,8192,342.89615022717044
Qwen2.5-72B-Instruct,8,no_ln2,16384,727.2441806776138
Qwen2.5-72B-Instruct,8,no_ln2,32768,1613.6987520187784
Mixtral-8x22B-Instruct-v0.1,8,baseline_multimem,1024,45.04990529579421
Mixtral-8x22B-Instruct-v0.1,8,baseline_multimem,2048,63.06128035842752
Mixtral-8x22B-Instruct-v0.1,8,baseline_multimem,4096,114.10387859990199
Mixtral-8x22B-Instruct-v0.1,8,baseline_multimem,8192,218.0717114553166
Mixtral-8x22B-Instruct-v0.1,8,baseline_multimem,16384,450.4894726521646
Mixtral-8x22B-Instruct-v0.1,8,baseline_multimem,32768,984.5832986640744
Mixtral-8x22B-Instruct-v0.1,8,no_ar1,1024,42.29024267212177
Mixtral-8x22B-Instruct-v0.1,8,no_ar1,2048,58.78936420194805
Mixtral-8x22B-Instruct-v0.1,8,no_ar1,4096,105.46934723388404
Mixtral-8x22B-Instruct-v0.1,8,no_ar1,8192,204.16438839553544
Mixtral-8x22B-Instruct-v0.1,8,no_ar1,16384,427.2628140053712
Mixtral-8x22B-Instruct-v0.1,8,no_ar1,32768,934.5641273151463
Mixtral-8x22B-Instruct-v0.1,8,no_ar2,1024,44.12385390993828
Mixtral-8x22B-Instruct-v0.1,8,no_ar2,2048,57.67459889951473
Mixtral-8x22B-Instruct-v0.1,8,no_ar2,4096,104.19782631021614
Mixtral-8x22B-Instruct-v0.1,8,no_ar2,8192,202.07209263462573
Mixtral-8x22B-Instruct-v0.1,8,no_ar2,16384,424.5478470188876
Mixtral-8x22B-Instruct-v0.1,8,no_ar2,32768,925.6256035723103
Mixtral-8x22B-Instruct-v0.1,8,no_ln1,1024,43.96391681705912
Mixtral-8x22B-Instruct-v0.1,8,no_ln1,2048,60.305586736649275
Mixtral-8x22B-Instruct-v0.1,8,no_ln1,4096,109.78186769255747
Mixtral-8x22B-Instruct-v0.1,8,no_ln1,8192,212.26885900832713
Mixtral-8x22B-Instruct-v0.1,8,no_ln1,16384,437.8331902359302
Mixtral-8x22B-Instruct-v0.1,8,no_ln1,32768,957.8718191517206
Mixtral-8x22B-Instruct-v0.1,8,no_ln2,1024,43.99686684676757
Mixtral-8x22B-Instruct-v0.1,8,no_ln2,2048,60.49165177003791
Mixtral-8x22B-Instruct-v0.1,8,no_ln2,4096,110.04697101889178
Mixtral-8x22B-Instruct-v0.1,8,no_ln2,8192,212.51585093171647
Mixtral-8x22B-Instruct-v0.1,8,no_ln2,16384,438.48414934861165
Mixtral-8x22B-Instruct-v0.1,8,no_ln2,32768,961.5690173387217
