model_name,gpu_count,impl,prompt_len,avg_latency(ms)
Llama-3.3-70B-Instruct,8,baseline_multimem,1024,49.25445936387405
Llama-3.3-70B-Instruct,8,baseline_multimem,2048,89.01069822798793
Llama-3.3-70B-Instruct,8,baseline_multimem,4096,173.27628773249066
Llama-3.3-70B-Instruct,8,baseline_multimem,8192,348.3169399589921
Llama-3.3-70B-Instruct,8,baseline_multimem,16384,737.5475526438095
Llama-3.3-70B-Instruct,8,baseline_multimem,32768,1623.4926067913573
Llama-3.3-70B-Instruct,8,no_ar1,1024,43.75212606973946
Llama-3.3-70B-Instruct,8,no_ar1,2048,80.78842945784952
Llama-3.3-70B-Instruct,8,no_ar1,4096,158.82548890464628
Llama-3.3-70B-Instruct,8,no_ar1,8192,319.9195729685016
Llama-3.3-70B-Instruct,8,no_ar1,16384,673.7398047621051
Llama-3.3-70B-Instruct,8,no_ar1,32768,1542.0322520347934
Llama-3.3-70B-Instruct,8,no_ar2,1024,43.79350371891633
Llama-3.3-70B-Instruct,8,no_ar2,2048,80.81185966730118
Llama-3.3-70B-Instruct,8,no_ar2,4096,158.20287633299208
Llama-3.3-70B-Instruct,8,no_ar2,8192,318.1253500243959
Llama-3.3-70B-Instruct,8,no_ar2,16384,675.8511642692611
Llama-3.3-70B-Instruct,8,no_ar2,32768,1513.5108128306456
Llama-3.3-70B-Instruct,8,no_ln1,1024,47.58915943093598
Llama-3.3-70B-Instruct,8,no_ln1,2048,85.98206089421485
Llama-3.3-70B-Instruct,8,no_ln1,4096,168.11223791446537
Llama-3.3-70B-Instruct,8,no_ln1,8192,339.1732120964055
Llama-3.3-70B-Instruct,8,no_ln1,16384,712.0533666883906
Llama-3.3-70B-Instruct,8,no_ln1,32768,1595.649999275338
Llama-3.3-70B-Instruct,8,no_ln2,1024,47.70084596627081
Llama-3.3-70B-Instruct,8,no_ln2,2048,85.88537090690807
Llama-3.3-70B-Instruct,8,no_ln2,4096,168.46263320961347
Llama-3.3-70B-Instruct,8,no_ln2,8192,340.2765642812786
Llama-3.3-70B-Instruct,8,no_ln2,16384,706.4041591753872
Llama-3.3-70B-Instruct,8,no_ln2,32768,1587.5289611130331
Qwen2.5-72B-Instruct,8,baseline_multimem,1024,50.2984027688702
Qwen2.5-72B-Instruct,8,baseline_multimem,2048,92.33071228954941
Qwen2.5-72B-Instruct,8,baseline_multimem,4096,177.30131052279225
Qwen2.5-72B-Instruct,8,baseline_multimem,8192,351.51941935764626
Qwen2.5-72B-Instruct,8,baseline_multimem,16384,748.1542964349501
Qwen2.5-72B-Instruct,8,baseline_multimem,32768,1665.353249727438
Qwen2.5-72B-Instruct,8,no_ar1,1024,45.1739788094225
Qwen2.5-72B-Instruct,8,no_ar1,2048,83.81822661031038
Qwen2.5-72B-Instruct,8,no_ar1,4096,162.67210982817537
Qwen2.5-72B-Instruct,8,no_ar1,8192,327.01753535463166
Qwen2.5-72B-Instruct,8,no_ar1,16384,687.3318497557193
Qwen2.5-72B-Instruct,8,no_ar1,32768,1572.2933092038147
Qwen2.5-72B-Instruct,8,no_ar2,1024,45.24133872861663
Qwen2.5-72B-Instruct,8,no_ar2,2048,84.08424200412507
Qwen2.5-72B-Instruct,8,no_ar2,4096,162.61821639879295
Qwen2.5-72B-Instruct,8,no_ar2,8192,326.3313097297214
Qwen2.5-72B-Instruct,8,no_ar2,16384,686.8783933925442
Qwen2.5-72B-Instruct,8,no_ar2,32768,1556.262396435098
Qwen2.5-72B-Instruct,8,no_ln1,1024,48.72971932636574
Qwen2.5-72B-Instruct,8,no_ln1,2048,89.48363017989323
