BL,hidden_size,multimem_ctas,correctness,full_rms_norm_us,partial_rms_norm_us,torch_all_reduce_us,multimem_all_reduce_us,fused_arln_us,simple_fusion_arln_us,multimem_rs_us,multimem_ag_us
2048,8192,32,True,115.80800265073776,19.840000197291374,215.7440036535263,140.06400108337402,138.68799805641174,210.1760059595108,104.22399640083313,100.16000270843506
2048,8192,64,True,72.76800274848938,14.240000396966934,212.12799847126007,146.7200070619583,148.73600006103516,204.19199764728546,104.44799810647964,100.38399696350098
2048,8192,128,True,47.13600128889084,11.807999573647976,212.3199999332428,162.01600432395935,162.27200627326965,201.02399587631226,104.54399883747101,100.47999769449234
2048,8192,0,True,39.93599861860275,10.528000071644783,212.22400665283203,135.23200154304504,187.8719925880432,201.82399451732635,106.23999685049057,100.12800246477127
4096,8192,2,True,3191.9360160827637,405.1840007305145,363.072007894516,391.07200503349304,763.2319927215576,950.111985206604,368.3840036392212,189.60000574588776
4096,8192,4,True,1603.775978088379,206.9759964942932,362.3040020465851,264.47999477386475,462.3999893665314,596.7680215835571,212.96000480651855,189.7280067205429
4096,8192,8,True,812.8960132598877,107.77600109577179,362.8160059452057,259.10401344299316,273.8560140132904,482.7840030193329,200.80000162124634,189.82400000095367
4096,8192,16,True,414.17598724365234,57.920001447200775,363.23198676109314,257.5039863586426,256.51198625564575,431.42399191856384,199.13600385189056,189.95200097560883
4096,8192,32,True,223.93600642681122,34.01599824428558,363.072007894516,261.50399446487427,259.2960000038147,404.83200550079346,197.24799692630768,189.79200720787048
4096,8192,64,True,138.08000087738037,22.84800074994564,362.33600974082947,268.41598749160767,272.7360129356384,392.5760090351105,197.1839964389801,189.91999328136444
4096,8192,128,True,86.56000345945358,17.343999817967415,364.22398686408997,282.5919985771179,295.26400566101074,386.33599877357483,196.19199633598328,189.95200097560883
4096,8192,0,True,72.35199958086014,15.424000099301338,363.3280098438263,258.432000875473,334.9759876728058,386.27201318740845,201.85600221157074,189.95200097560883
8192,8192,2,True,6395.999908447266,802.944004535675,692.5439834594727,769.8879837989807,1517.6000595092773,1889.8240327835083,719.4560170173645,371.8720078468323
8192,8192,4,True,3195.712089538574,406.2719941139221,692.8319931030273,517.0239806175232,905.888020992279,1174.9759912490845,410.71999073028564,370.84800004959106
8192,8192,8,True,1612.9599809646606,208.38400721549988,693.0559873580933,503.4559965133667,527.9359817504883,950.111985206604,388.480007648468,369.7279989719391
8192,8192,16,True,823.0080008506775,109.53599959611893,692.031979560852,500.63997507095337,500.92798471450806,846.015989780426,383.9679956436157,370.07999420166016
8192,8192,32,True,439.61599469184875,61.824001371860504,691.7120218276978,507.29602575302124,501.18398666381836,793.9519882202148,380.8000087738037,369.8880076408386
8192,8192,64,True,264.99199867248535,39.03999924659729,693.0559873580933,512.1279954910278,516.2559747695923,769.6959972381592,379.90400195121765,369.951993227005
8192,8192,128,True,164.06400501728058,27.51999907195568,692.255973815918,524.7039794921875,555.4239749908447,758.2719922065735,380.67200779914856,369.85599994659424
8192,8192,0,True,136.80000603199005,23.80800060927868,692.2879815101624,505.95200061798096,620.8959817886353,701.312005519867,388.8320028781891,370.1759874820709
16384,8192,2,True,12722.240447998047,1604.5440435409546,1346.9760417938232,1530.176043510437,3026.495933532715,3798.975944519043,1426.7840385437012,733.568012714386
16384,8192,4,True,6356.480121612549,801.9520044326782,1346.0479974746704,1020.8319425582886,1775.488018989563,2352.3199558258057,805.3119778633118,730.8160066604614
16384,8192,8,True,3221.440076828003,408.86399149894714,1346.2079763412476,994.7519898414612,1041.4400100708008,1893.4400081634521,764.9919986724854,729.0560007095337
16384,8192,16,True,1631.3600540161133,209.88799631595612,1346.6880321502686,987.9040122032166,985.759973526001,1681.7920207977295,756.3199996948242,727.9999852180481
16384,8192,32,True,873.088002204895,116.12799763679504,1346.560001373291,996.2239861488342,984.4480156898499,1578.3360004425049,750.5599856376648,727.840006351471
16384,8192,64,True,515.5519843101501,72.03199714422226,1346.3040590286255,998.3680248260498,1002.6240348815918,1532.096028327942,748.2879757881165,728.0319929122925
16384,8192,128,True,319.0079927444458,47.00800031423569,1347.2000360488892,1008.7679624557495,1048.7359762191772,1507.680058479309,748.9280104637146,728.6400198936462
16384,8192,0,True,266.30398631095886,40.09599983692169,1346.5919494628906,995.199978351593,1194.7519779205322,1279.9040079116821,763.2960081100464,729.1200160980225
32768,8192,2,True,25532.73582458496,3199.7439861297607,2639.2641067504883,3025.4080295562744,6037.951946258545,7676.83219909668,2827.8400897979736,1461.4399671554565
32768,8192,4,True,12862.624168395996,1614.3039464950562,2638.9119625091553,2022.495985031128,3532.2558879852295,4734.208106994629,1595.3279733657837,1449.4400024414062
32768,8192,8,True,6463.4881019592285,812.4799728393555,2639.359951019287,1967.3279523849487,2069.727897644043,3786.303997039795,1503.9039850234985,1448.8320350646973
32768,8192,16,True,3260.92791557312,412.9279851913452,2638.943910598755,1958.1120014190674,1952.5760412216187,3350.879907608032,1492.576003074646,1445.7279443740845
32768,8192,32,True,1730.687975883484,223.77599775791168,2636.575937271118,1968.384027481079,1952.2240161895752,3141.024112701416,1483.6159944534302,1446.2080001831055
32768,8192,64,True,1006.5599679946899,138.2720023393631,2639.8720741271973,1967.2319889068604,1974.2079973220825,3045.696020126343,1481.8880558013916,1444.640040397644
32768,8192,128,True,629.7600269317627,86.11200004816055,2640.9919261932373,1974.4319915771484,2015.104055404663,2996.3200092315674,1481.760025024414,1445.6000328063965
32768,8192,0,True,524.1600275039673,71.9359964132309,2640.768051147461,1964.1599655151367,2334.0160846710205,2433.1839084625244,1507.7760219573975,1446.2080001831055
