model_name,gpu_count,impl,prompt_len,avg_latency(ms)
Mixtral-8x22B-Instruct-v0.1,8,no_ar2,16384,423.9446373734002
Mixtral-8x22B-Instruct-v0.1,8,no_ar2,32768,917.5433148668768
Mixtral-8x22B-Instruct-v0.1,8,no_ln1,1024,44.22487484989688
Mixtral-8x22B-Instruct-v0.1,8,no_ln1,2048,59.73032556163768
Mixtral-8x22B-Instruct-v0.1,8,no_ln1,4096,109.02955388495077
Mixtral-8x22B-Instruct-v0.1,8,no_ln1,8192,211.95658850483596
Mixtral-8x22B-Instruct-v0.1,8,no_ln1,16384,437.1264638301606
Mixtral-8x22B-Instruct-v0.1,8,no_ln1,32768,954.8320804450972
Mixtral-8x22B-Instruct-v0.1,8,no_ln2,1024,44.64474476796264
Mixtral-8x22B-Instruct-v0.1,8,no_ln2,2048,60.93326056143269
Mixtral-8x22B-Instruct-v0.1,8,no_ln2,4096,109.41817660350353
Mixtral-8x22B-Instruct-v0.1,8,no_ln2,8192,211.96867448743433
Mixtral-8x22B-Instruct-v0.1,8,no_ln2,16384,437.97702214603004
Mixtral-8x22B-Instruct-v0.1,8,no_ln2,32768,958.3772714016959
