model_name,gpu_count,impl,prompt_len,avg_latency(ms)
Llama-3.3-70B-Instruct,8,baseline_multimem,1024,49.25059187614048
Llama-3.3-70B-Instruct,8,baseline_multimem,2048,88.76293649664149
Llama-3.3-70B-Instruct,8,baseline_multimem,4096,172.82928659114987
Llama-3.3-70B-Instruct,8,baseline_multimem,8192,347.57073543344933
Llama-3.3-70B-Instruct,8,baseline_multimem,16384,734.5506755363507
Llama-3.3-70B-Instruct,8,baseline_multimem,32768,1639.8650226687703
Llama-3.3-70B-Instruct,8,no_ar1,1024,43.7809545507965
Llama-3.3-70B-Instruct,8,no_ar1,2048,80.72360892547294
Llama-3.3-70B-Instruct,8,no_ar1,4096,158.77825500210747
Llama-3.3-70B-Instruct,8,no_ar1,8192,319.8181198560633
Llama-3.3-70B-Instruct,8,no_ar1,16384,674.9629753370149
Llama-3.3-70B-Instruct,8,no_ar1,32768,1541.3880731289585
Llama-3.3-70B-Instruct,8,no_ar2,1024,43.766493804287165
Llama-3.3-70B-Instruct,8,no_ar2,2048,80.53713202243671
Llama-3.3-70B-Instruct,8,no_ar2,4096,158.2214084958347
Llama-3.3-70B-Instruct,8,no_ar2,8192,318.5011125674161
Llama-3.3-70B-Instruct,8,no_ar2,16384,675.8240703609772
Llama-3.3-70B-Instruct,8,no_ar2,32768,1513.4525055104557
Llama-3.3-70B-Instruct,8,no_ln1,1024,47.60711626537765
Llama-3.3-70B-Instruct,8,no_ln1,2048,85.92913040192798
Llama-3.3-70B-Instruct,8,no_ln1,4096,168.08832224536067
Llama-3.3-70B-Instruct,8,no_ln1,8192,338.7032657978125
Llama-3.3-70B-Instruct,8,no_ln1,16384,709.2310144992856
Llama-3.3-70B-Instruct,8,no_ln1,32768,1597.2728536619495
Llama-3.3-70B-Instruct,8,no_ln2,1024,47.74406853442391
Llama-3.3-70B-Instruct,8,no_ln2,2048,85.7810304267332
Llama-3.3-70B-Instruct,8,no_ln2,4096,167.9957936362674
Llama-3.3-70B-Instruct,8,no_ln2,8192,338.9486859552562
Llama-3.3-70B-Instruct,8,no_ln2,16384,704.1913587755213
Llama-3.3-70B-Instruct,8,no_ln2,32768,1593.5561662151788
Qwen2.5-72B-Instruct,8,baseline_multimem,1024,50.109380041249096
Qwen2.5-72B-Instruct,8,baseline_multimem,2048,91.98464369789387
Qwen2.5-72B-Instruct,8,baseline_multimem,4096,176.69348454413316
Qwen2.5-72B-Instruct,8,baseline_multimem,8192,351.67015607391176
Qwen2.5-72B-Instruct,8,baseline_multimem,16384,746.5321387979202
Qwen2.5-72B-Instruct,8,baseline_multimem,32768,1648.8289066706784
Qwen2.5-72B-Instruct,8,no_ar1,1024,44.99901929715028
Qwen2.5-72B-Instruct,8,no_ar1,2048,83.78137119192009
Qwen2.5-72B-Instruct,8,no_ar1,4096,162.74280013749376
Qwen2.5-72B-Instruct,8,no_ar1,8192,326.5608281750853
Qwen2.5-72B-Instruct,8,no_ar1,16384,687.3325185889067
Qwen2.5-72B-Instruct,8,no_ar1,32768,1570.2907346111413
Qwen2.5-72B-Instruct,8,no_ar2,1024,45.1929725978213
Qwen2.5-72B-Instruct,8,no_ar2,2048,83.8632298943897
Qwen2.5-72B-Instruct,8,no_ar2,4096,162.2476629059141
Qwen2.5-72B-Instruct,8,no_ar2,8192,325.3841280587949
Qwen2.5-72B-Instruct,8,no_ar2,16384,686.7132792365737
Qwen2.5-72B-Instruct,8,no_ar2,32768,1546.6707777658787
Qwen2.5-72B-Instruct,8,no_ln1,1024,48.629550088662654
Qwen2.5-72B-Instruct,8,no_ln1,2048,89.39973070907097
Qwen2.5-72B-Instruct,8,no_ln1,4096,171.10506475437433
Qwen2.5-72B-Instruct,8,no_ln1,8192,342.287016644453
Qwen2.5-72B-Instruct,8,no_ln1,16384,729.3364362325519
Qwen2.5-72B-Instruct,8,no_ln1,32768,1609.8551347502507
Qwen2.5-72B-Instruct,8,no_ln2,1024,48.68244306417182
Qwen2.5-72B-Instruct,8,no_ln2,2048,89.12735493698467
Qwen2.5-72B-Instruct,8,no_ln2,4096,171.4398416535308
Qwen2.5-72B-Instruct,8,no_ln2,8192,343.31681770272553
Qwen2.5-72B-Instruct,8,no_ln2,16384,724.1954608354717
Qwen2.5-72B-Instruct,8,no_ln2,32768,1609.8191325436346
Mixtral-8x22B-Instruct-v0.1,8,baseline_multimem,1024,44.38484437608471
Mixtral-8x22B-Instruct-v0.1,8,baseline_multimem,2048,62.97971828995893
Mixtral-8x22B-Instruct-v0.1,8,baseline_multimem,4096,113.81186893753086
Mixtral-8x22B-Instruct-v0.1,8,baseline_multimem,8192,217.89873273810372
Mixtral-8x22B-Instruct-v0.1,8,baseline_multimem,16384,448.8705738952073
Mixtral-8x22B-Instruct-v0.1,8,baseline_multimem,32768,979.0796216228046
Mixtral-8x22B-Instruct-v0.1,8,no_ar1,1024,42.24708379479125
Mixtral-8x22B-Instruct-v0.1,8,no_ar1,2048,58.4946865371118
Mixtral-8x22B-Instruct-v0.1,8,no_ar1,4096,105.1691655186005
Mixtral-8x22B-Instruct-v0.1,8,no_ar1,8192,204.0431898048458
Mixtral-8x22B-Instruct-v0.1,8,no_ar1,16384,425.4407889597739
Mixtral-8x22B-Instruct-v0.1,8,no_ar1,32768,928.079284603397
Mixtral-8x22B-Instruct-v0.1,8,no_ar2,1024,42.63392925495282
Mixtral-8x22B-Instruct-v0.1,8,no_ar2,2048,56.93710295793911
Mixtral-8x22B-Instruct-v0.1,8,no_ar2,4096,103.1258329981938
Mixtral-8x22B-Instruct-v0.1,8,no_ar2,8192,201.18391247233376
