model_name,gpu_count,impl,prompt_len,avg_latency(ms)
Mixtral-8x22B-Instruct-v0.1,8,no_ar2,8192,201.7513335798867
Mixtral-8x22B-Instruct-v0.1,8,no_ar2,16384,423.5318448433342
Mixtral-8x22B-Instruct-v0.1,8,no_ar2,32768,921.7063593600566
Mixtral-8x22B-Instruct-v0.1,8,no_ln1,1024,43.92401579922686
Mixtral-8x22B-Instruct-v0.1,8,no_ln1,2048,60.18632386888688
Mixtral-8x22B-Instruct-v0.1,8,no_ln1,4096,108.53792063814278
Mixtral-8x22B-Instruct-v0.1,8,no_ln1,8192,211.90735508765405
Mixtral-8x22B-Instruct-v0.1,8,no_ln1,16384,436.9222326592232
Mixtral-8x22B-Instruct-v0.1,8,no_ln1,32768,954.824702484378
Mixtral-8x22B-Instruct-v0.1,8,no_ln2,1024,45.08877916571995
Mixtral-8x22B-Instruct-v0.1,8,no_ln2,2048,59.60275863374894
Mixtral-8x22B-Instruct-v0.1,8,no_ln2,4096,108.60299427683155
Mixtral-8x22B-Instruct-v0.1,8,no_ln2,8192,212.45039916442087
Mixtral-8x22B-Instruct-v0.1,8,no_ln2,16384,437.260186963249
Mixtral-8x22B-Instruct-v0.1,8,no_ln2,32768,958.9660323613012
