model_name,gpu_count,impl,prompt_len,avg_latency(ms)
Llama-3.3-70B-Instruct,8,baseline_multimem,1024,49.21657507851099
Llama-3.3-70B-Instruct,8,baseline_multimem,2048,88.61999576523279
Llama-3.3-70B-Instruct,8,baseline_multimem,4096,172.91054060139382
Llama-3.3-70B-Instruct,8,baseline_multimem,8192,347.7312500860232
Llama-3.3-70B-Instruct,8,baseline_multimem,16384,734.3502025740842
Llama-3.3-70B-Instruct,8,baseline_multimem,32768,1634.679973362169
Llama-3.3-70B-Instruct,8,no_ar1,1024,43.76108342936883
Llama-3.3-70B-Instruct,8,no_ar1,2048,80.78821837358798
Llama-3.3-70B-Instruct,8,no_ar1,4096,158.7671701097861
Llama-3.3-70B-Instruct,8,no_ar1,8192,319.49507589063916
Llama-3.3-70B-Instruct,8,no_ar1,16384,673.5378916918611
Llama-3.3-70B-Instruct,8,no_ar1,32768,1542.9390728667688
Llama-3.3-70B-Instruct,8,no_ar2,1024,43.81489569010834
Llama-3.3-70B-Instruct,8,no_ar2,2048,80.66855147092913
Llama-3.3-70B-Instruct,8,no_ar2,4096,158.36631506681442
Llama-3.3-70B-Instruct,8,no_ar2,8192,317.94083556548384
Llama-3.3-70B-Instruct,8,no_ar2,16384,675.4139533615671
Llama-3.3-70B-Instruct,8,no_ar2,32768,1515.9211876996171
Llama-3.3-70B-Instruct,8,no_ln1,1024,47.60508149629459
Llama-3.3-70B-Instruct,8,no_ln1,2048,85.8474557637237
Llama-3.3-70B-Instruct,8,no_ln1,4096,168.06269543788707
Llama-3.3-70B-Instruct,8,no_ln1,8192,338.69954420176026
Llama-3.3-70B-Instruct,8,no_ln1,16384,711.8462036324976
Llama-3.3-70B-Instruct,8,no_ln1,32768,1597.8337466716766
Llama-3.3-70B-Instruct,8,no_ln2,1024,47.59135543135926
Llama-3.3-70B-Instruct,8,no_ln2,2048,85.72086474547784
Llama-3.3-70B-Instruct,8,no_ln2,4096,168.24411674169824
Llama-3.3-70B-Instruct,8,no_ln2,8192,339.35153606968623
Llama-3.3-70B-Instruct,8,no_ln2,16384,705.0634526880458
Llama-3.3-70B-Instruct,8,no_ln2,32768,1594.8780520353466
Qwen2.5-72B-Instruct,8,baseline_multimem,1024,50.333134965815894
Qwen2.5-72B-Instruct,8,baseline_multimem,2048,92.15476425597444
Qwen2.5-72B-Instruct,8,baseline_multimem,4096,177.27239996117228
Qwen2.5-72B-Instruct,8,baseline_multimem,8192,351.63491929415613
Qwen2.5-72B-Instruct,8,baseline_multimem,16384,747.8561992679412
Qwen2.5-72B-Instruct,8,baseline_multimem,32768,1664.9361854419112
Qwen2.5-72B-Instruct,8,no_ar1,1024,44.97687661787495
Qwen2.5-72B-Instruct,8,no_ar1,2048,83.9195358295304
Qwen2.5-72B-Instruct,8,no_ar1,4096,162.61516733793542
Qwen2.5-72B-Instruct,8,no_ar1,8192,326.59933550748974
Qwen2.5-72B-Instruct,8,no_ar1,16384,687.8651380422525
Qwen2.5-72B-Instruct,8,no_ar1,32768,1573.0900067991267
Qwen2.5-72B-Instruct,8,no_ar2,1024,45.124952805538975
Qwen2.5-72B-Instruct,8,no_ar2,2048,83.85819833104809
Qwen2.5-72B-Instruct,8,no_ar2,4096,162.42389294396466
Qwen2.5-72B-Instruct,8,no_ar2,8192,325.38885076840717
Qwen2.5-72B-Instruct,8,no_ar2,16384,686.6423855380466
Qwen2.5-72B-Instruct,8,no_ar2,32768,1551.7691396409646
Qwen2.5-72B-Instruct,8,no_ln1,1024,48.706038358310856
Qwen2.5-72B-Instruct,8,no_ln1,2048,89.37427550942327
Qwen2.5-72B-Instruct,8,no_ln1,4096,171.67818179198852
Qwen2.5-72B-Instruct,8,no_ln1,8192,342.3593170048359
Qwen2.5-72B-Instruct,8,no_ln1,16384,730.9000537924779
Qwen2.5-72B-Instruct,8,no_ln1,32768,1617.1809011371806
Qwen2.5-72B-Instruct,8,no_ln2,1024,48.770452554648124
Qwen2.5-72B-Instruct,8,no_ln2,2048,89.4621716812253
Qwen2.5-72B-Instruct,8,no_ln2,4096,171.21913597220555
Qwen2.5-72B-Instruct,8,no_ln2,8192,343.66809870892513
Qwen2.5-72B-Instruct,8,no_ln2,16384,725.9245179787589
Qwen2.5-72B-Instruct,8,no_ln2,32768,1611.8280899633344
Mixtral-8x22B-Instruct-v0.1,8,baseline_multimem,1024,44.6539395644019
Mixtral-8x22B-Instruct-v0.1,8,baseline_multimem,2048,63.089958481335394
Mixtral-8x22B-Instruct-v0.1,8,baseline_multimem,4096,113.84261530280735
Mixtral-8x22B-Instruct-v0.1,8,baseline_multimem,8192,218.13043729634956
Mixtral-8x22B-Instruct-v0.1,8,baseline_multimem,16384,449.60677380052704
Mixtral-8x22B-Instruct-v0.1,8,baseline_multimem,32768,982.7997922392873
Mixtral-8x22B-Instruct-v0.1,8,no_ar1,1024,42.85401509453853
Mixtral-8x22B-Instruct-v0.1,8,no_ar1,2048,58.59658163584148
Mixtral-8x22B-Instruct-v0.1,8,no_ar1,4096,105.46788162707041
Mixtral-8x22B-Instruct-v0.1,8,no_ar1,8192,203.95390667254105
Mixtral-8x22B-Instruct-v0.1,8,no_ar1,16384,426.48889188809943
Mixtral-8x22B-Instruct-v0.1,8,no_ar1,32768,933.6288945322545
Mixtral-8x22B-Instruct-v0.1,8,no_ar2,1024,42.17039889578397
Mixtral-8x22B-Instruct-v0.1,8,no_ar2,2048,57.21405242026473
Mixtral-8x22B-Instruct-v0.1,8,no_ar2,4096,103.39185545841853
Mixtral-8x22B-Instruct-v0.1,8,no_ar2,8192,201.9626580256348
Mixtral-8x22B-Instruct-v0.1,8,no_ar2,16384,424.1191627380128
Mixtral-8x22B-Instruct-v0.1,8,no_ar2,32768,923.6063836879717
Mixtral-8x22B-Instruct-v0.1,8,no_ln1,1024,43.71764589644348
Mixtral-8x22B-Instruct-v0.1,8,no_ln1,2048,59.723596492161356
Mixtral-8x22B-Instruct-v0.1,8,no_ln1,4096,108.83625861024484
Mixtral-8x22B-Instruct-v0.1,8,no_ln1,8192,212.391595406613
Mixtral-8x22B-Instruct-v0.1,8,no_ln1,16384,437.86242235995206
Mixtral-8x22B-Instruct-v0.1,8,no_ln1,32768,956.7556928610429
Mixtral-8x22B-Instruct-v0.1,8,no_ln2,1024,44.75438891289135
Mixtral-8x22B-Instruct-v0.1,8,no_ln2,2048,60.96617403673008
Mixtral-8x22B-Instruct-v0.1,8,no_ln2,4096,110.17326336198796
Mixtral-8x22B-Instruct-v0.1,8,no_ln2,8192,212.44636645230153
Mixtral-8x22B-Instruct-v0.1,8,no_ln2,16384,438.051972774944
Mixtral-8x22B-Instruct-v0.1,8,no_ln2,32768,961.4169272283713
