num_tokens,hidden_size,num_tokens_per_gpu,fused_arln_us_ctas_2,fused_arln_us_ctas_4,fused_arln_us_ctas_8,fused_arln_us_ctas_16,fused_arln_us_ctas_32,fused_arln_us_ctas_64,fused_arln_us_ctas_128
64,8192,17.24799908697605,22.655999287962917,18.33599992096424,17.24799908697605,17.27999933063984,17.216000705957413,17.24799908697605,17.503999173641205
128,8192,21.05600014328957,34.33600068092346,25.98400041460991,22.304000332951546,20.767999812960625,21.40799909830093,21.536000072956085,21.75999991595745
256,8192,31.647998839616776,58.04799869656563,40.73600098490715,31.295999884605408,28.44800055027008,31.55200183391571,31.71199932694435,31.775999814271927
512,8192,55.16799911856651,104.8320010304451,69.69600170850754,47.90399968624115,44.03200000524521,47.42399975657463,55.135998874902725,55.23199960589409
1024,8192,100.89600086212158,198.81600141525269,126.5919953584671,79.83999699354172,74.46400076150894,78.04799824953079,85.75999736785889,100.76799988746644
2048,8192,187.8719925880432,386.9760036468506,239.68000710010529,144.57599818706512,135.55200397968292,138.68799805641174,148.73600006103516,162.27200627326965
4096,8192,334.9759876728058,763.2319927215576,462.3999893665314,273.8560140132904,256.5119862556457,259.2960000038147,272.7360129356384,295.26400566101074
8192,8192,620.8959817886353,1517.6000595092771,905.888020992279,527.9359817504883,500.92798471450806,501.1839866638184,516.2559747695923,555.4239749908447
16384,8192,1194.7519779205322,3026.495933532715,1775.488018989563,1041.4400100708008,985.759973526001,984.44801568985,1002.6240348815918,1048.7359762191772
32768,8192,2334.0160846710205,6037.951946258545,3532.255887985229,2069.727897644043,1952.5760412216189,1952.2240161895752,1974.2079973220823,2015.104055404663
